Total Time,Pipeline1 Number of Comparisons,Pipeline2 Number of Comparisons,Output Comparisons,Pipeline_Value,BenchMark
2.7902333333,90902,38,32,2,Whiley
2.6907166667,90902,38,32,2,Whiley
2.7502333333,90902,38,32,2,Whiley
2.6768833333,90902,38,32,2,Whiley
2.7745166667,90902,38,32,2,Whiley
2.68265,90902,38,32,2,Whiley
2.7143,90902,38,32,2,Whiley
2.7120833333,90902,38,32,2,Whiley
2.80005,90902,38,32,2,Whiley
2.6916333333,90902,38,32,2,Whiley
2.7091166667,90902,38,32,2,Whiley
2.7303333333,90902,38,32,2,Whiley
2.8003666667,90902,38,32,2,Whiley
2.7950833333,90902,38,32,2,Whiley
2.6917333333,90902,38,32,2,Whiley
2.7288833333,90902,38,32,2,Whiley
2.7327666667,90902,38,32,2,Whiley
2.75995,90902,38,32,2,Whiley
2.74505,90902,38,32,2,Whiley
2.7377166667,90902,38,32,2,Whiley
2.7385666667,90902,38,32,2,Whiley
2.7399666667,90902,38,32,2,Whiley
2.7488,90902,38,32,2,Whiley
2.7524333333,90902,38,32,2,Whiley
2.7934833333,90902,38,32,2,Whiley
2.7880166667,90902,38,32,2,Whiley
2.8025666667,90902,38,32,2,Whiley
2.8028833333,90902,38,32,2,Whiley
2.8056833333,90902,38,32,2,Whiley
2.81555,90902,38,32,2,Whiley
2.6146333333,90902,544,32,3,Whiley
2.5717666667,90902,544,32,3,Whiley
2.52785,90902,544,32,3,Whiley
2.5798833333,90902,544,32,3,Whiley
2.5794,90902,544,32,3,Whiley
2.63155,90902,544,32,3,Whiley
2.5508333333,90902,544,32,3,Whiley
2.60085,90902,544,32,3,Whiley
2.6148833333,90902,544,32,3,Whiley
2.54865,90902,544,32,3,Whiley
2.6001666667,90902,544,32,3,Whiley
2.6105666667,90902,544,32,3,Whiley
2.5406333333,90902,544,32,3,Whiley
2.5796166667,90902,544,32,3,Whiley
2.6199,90902,544,32,3,Whiley
2.5886666667,90902,544,32,3,Whiley
2.6436,90902,544,32,3,Whiley
2.6095166667,90902,544,32,3,Whiley
2.5629333333,90902,544,32,3,Whiley
2.60465,90902,544,32,3,Whiley
2.6064666667,90902,544,32,3,Whiley
2.5889666667,90902,544,32,3,Whiley
2.6454666667,90902,544,32,3,Whiley
2.6033333333,90902,544,32,3,Whiley
2.5987333333,90902,544,32,3,Whiley
2.6167,90902,544,32,3,Whiley
2.6073166667,90902,544,32,3,Whiley
2.6283833333,90902,544,32,3,Whiley
2.64705,90902,544,32,3,Whiley
2.6793666667,90902,544,32,3,Whiley
2.0546166667,1536360,2190,1666,2,Spring
2.04135,1536360,2190,1666,2,Spring
2.02775,1536360,2190,1666,2,Spring
2.0660166667,1536360,2190,1666,2,Spring
2.02865,1536360,2190,1666,2,Spring
2.0745333333,1536360,2190,1666,2,Spring
2.1064,1536360,2190,1666,2,Spring
2.1052333333,1536360,2190,1666,2,Spring
2.1036666667,1536360,2190,1666,2,Spring
2.0862833333,1536360,2190,1666,2,Spring
2.0943333333,1536360,2190,1666,2,Spring
2.1018666667,1536360,2190,1666,2,Spring
2.0983,1536360,2190,1666,2,Spring
2.0981,1536360,2190,1666,2,Spring
2.10065,1536360,2190,1666,2,Spring
2.1220666667,1536360,2190,1666,2,Spring
2.0962666667,1536360,2190,1666,2,Spring
2.09165,1536360,2190,1666,2,Spring
2.1104833333,1536360,2190,1666,2,Spring
2.10835,1536360,2190,1666,2,Spring
2.0975166667,1536360,2190,1666,2,Spring
2.10565,1536360,2190,1666,2,Spring
2.1018833333,1536360,2190,1666,2,Spring
2.1008666667,1536360,2190,1666,2,Spring
2.0921,1536360,2190,1666,2,Spring
2.09705,1536360,2190,1666,2,Spring
2.0452333333,1536360,2190,1666,2,Spring
2.0943333333,1536360,2190,1666,2,Spring
2.0966333333,1536360,2190,1666,2,Spring
2.2902666667,1536360,2190,1666,2,Spring
1.9690833333,1536360,2190,1666,3,Spring
2.1001333333,1536360,2190,1666,3,Spring
2.0993333333,1536360,2190,1666,3,Spring
2.08135,1536360,2190,1666,3,Spring
2.1372,1536360,2190,1666,3,Spring
2.11565,1536360,2190,1666,3,Spring
2.12325,1536360,2190,1666,3,Spring
2.1273,1536360,2190,1666,3,Spring
2.1219,1536360,2190,1666,3,Spring
2.1276,1536360,2190,1666,3,Spring
2.12585,1536360,2190,1666,3,Spring
2.132,1536360,2190,1666,3,Spring
2.1269166667,1536360,2190,1666,3,Spring
2.1326333333,1536360,2190,1666,3,Spring
2.1281333333,1536360,2190,1666,3,Spring
2.1298333333,1536360,2190,1666,3,Spring
2.1251166667,1536360,2190,1666,3,Spring
2.1337833333,1536360,2190,1666,3,Spring
2.1202666667,1536360,2190,1666,3,Spring
2.1326666667,1536360,2190,1666,3,Spring
2.1399166667,1536360,2190,1666,3,Spring
2.1227166667,1536360,2190,1666,3,Spring
2.1277833333,1536360,2190,1666,3,Spring
2.1251833333,1536360,2190,1666,3,Spring
2.1274333333,1536360,2190,1666,3,Spring
2.1189,1536360,2190,1666,3,Spring
2.1291166667,1536360,2190,1666,3,Spring
2.0714666667,1536360,2190,1666,3,Spring
2.1351333333,1536360,2190,1666,3,Spring
2.1467,1536360,2190,1666,3,Spring
0.4929333333,32580,126,76,2,Metric-x
0.4812666667,32580,126,76,2,Metric-x
0.4658833333,32580,126,76,2,Metric-x
0.47135,32580,126,76,2,Metric-x
0.4621333333,32580,126,76,2,Metric-x
0.47845,32580,126,76,2,Metric-x
0.4829666667,32580,126,76,2,Metric-x
0.464,32580,126,76,2,Metric-x
0.4692833333,32580,126,76,2,Metric-x
0.48985,32580,126,76,2,Metric-x
0.4930333333,32580,126,76,2,Metric-x
0.4842666667,32580,126,76,2,Metric-x
0.4959166667,32580,126,76,2,Metric-x
0.4950833333,32580,126,76,2,Metric-x
0.5018333333,32580,126,76,2,Metric-x
0.4844833333,32580,126,76,2,Metric-x
0.4940333333,32580,126,76,2,Metric-x
0.4678333333,32580,126,76,2,Metric-x
0.4983,32580,126,76,2,Metric-x
0.4996166667,32580,126,76,2,Metric-x
0.49495,32580,126,76,2,Metric-x
0.4937833333,32580,126,76,2,Metric-x
0.4686666667,32580,126,76,2,Metric-x
0.4956666667,32580,126,76,2,Metric-x
0.4991333333,32580,126,76,2,Metric-x
0.48195,32580,126,76,2,Metric-x
0.4701666667,32580,126,76,2,Metric-x
0.5092,32580,126,76,2,Metric-x
0.4999666667,32580,126,76,2,Metric-x
0.47355,32580,126,76,2,Metric-x
0.506,32580,126,76,3,Metric-x
0.5216166667,32580,126,76,3,Metric-x
0.5188,32580,126,76,3,Metric-x
0.5190666667,32580,126,76,3,Metric-x
