Total Time,Pipeline1 Number of Comparisons,Pipeline2 Number of Comparisons,Output Comparisons,Weighting,BenchMark
2.9213833333,90902,38,30,true,Whiley
2.91085,90902,38,30,true,Whiley
2.8709,90902,38,30,true,Whiley
2.9530166667,90902,38,30,true,Whiley
2.9592666667,90902,38,30,true,Whiley
2.95705,90902,38,30,true,Whiley
2.8656666667,90902,38,30,true,Whiley
2.8716,90902,38,30,true,Whiley
2.9135166667,90902,38,30,true,Whiley
2.95635,90902,38,30,true,Whiley
2.9067666667,90902,38,30,true,Whiley
2.9336333333,90902,38,30,true,Whiley
2.9083,90902,38,30,true,Whiley
2.8569333333,90902,38,30,true,Whiley
2.8724166667,90902,38,30,true,Whiley
2.9202666667,90902,38,30,true,Whiley
2.94815,90902,38,30,true,Whiley
2.8986833333,90902,38,30,true,Whiley
2.9099,90902,38,30,true,Whiley
2.9872833333,90902,38,30,true,Whiley
2.92095,90902,38,30,true,Whiley
2.9251333333,90902,38,30,true,Whiley
2.9401833333,90902,38,30,true,Whiley
2.9681833333,90902,38,30,true,Whiley
2.9489166667,90902,38,30,true,Whiley
2.9379,90902,38,30,true,Whiley
2.96765,90902,38,30,true,Whiley
2.9608833333,90902,38,30,true,Whiley
2.9460666667,90902,38,30,true,Whiley
2.9661833333,90902,38,30,true,Whiley
2.7902333333,90902,38,32,false,Whiley
2.6907166667,90902,38,32,false,Whiley
2.7502333333,90902,38,32,false,Whiley
2.6768833333,90902,38,32,false,Whiley
2.7745166667,90902,38,32,false,Whiley
2.68265,90902,38,32,false,Whiley
2.7143,90902,38,32,false,Whiley
2.7120833333,90902,38,32,false,Whiley
2.80005,90902,38,32,false,Whiley
2.6916333333,90902,38,32,false,Whiley
2.7091166667,90902,38,32,false,Whiley
2.7303333333,90902,38,32,false,Whiley
2.8003666667,90902,38,32,false,Whiley
2.7950833333,90902,38,32,false,Whiley
2.6917333333,90902,38,32,false,Whiley
2.7288833333,90902,38,32,false,Whiley
2.7327666667,90902,38,32,false,Whiley
2.75995,90902,38,32,false,Whiley
2.74505,90902,38,32,false,Whiley
2.7377166667,90902,38,32,false,Whiley
2.7385666667,90902,38,32,false,Whiley
2.7399666667,90902,38,32,false,Whiley
2.7488,90902,38,32,false,Whiley
2.7524333333,90902,38,32,false,Whiley
2.7934833333,90902,38,32,false,Whiley
2.7880166667,90902,38,32,false,Whiley
2.8025666667,90902,38,32,false,Whiley
2.8028833333,90902,38,32,false,Whiley
2.8056833333,90902,38,32,false,Whiley
2.81555,90902,38,32,false,Whiley
1.8060166667,1536360,2190,1688,true,Spring
1.7710833333,1536360,2190,1688,true,Spring
1.8162166667,1536360,2190,1688,true,Spring
1.7804166667,1536360,2190,1688,true,Spring
1.7954833333,1536360,2190,1688,true,Spring
1.80705,1536360,2190,1688,true,Spring
1.8072166667,1536360,2190,1688,true,Spring
1.8114,1536360,2190,1688,true,Spring
1.8147,1536360,2190,1688,true,Spring
1.80475,1536360,2190,1688,true,Spring
1.8158833333,1536360,2190,1688,true,Spring
1.8166333333,1536360,2190,1688,true,Spring
1.8071166667,1536360,2190,1688,true,Spring
1.8079,1536360,2190,1688,true,Spring
1.8042833333,1536360,2190,1688,true,Spring
1.76685,1536360,2190,1688,true,Spring
1.7550666667,1536360,2190,1688,true,Spring
1.80725,1536360,2190,1688,true,Spring
1.8218166667,1536360,2190,1688,true,Spring
1.7651666667,1536360,2190,1688,true,Spring
1.8129333333,1536360,2190,1688,true,Spring
1.8089333333,1536360,2190,1688,true,Spring
1.8232,1536360,2190,1688,true,Spring
1.8208,1536360,2190,1688,true,Spring
1.9562,1536360,2190,1688,true,Spring
1.9693166667,1536360,2190,1688,true,Spring
1.9745833333,1536360,2190,1688,true,Spring
1.9818833333,1536360,2190,1688,true,Spring
1.9853833333,1536360,2190,1688,true,Spring
1.9914333333,1536360,2190,1688,true,Spring
2.0546166667,1536360,2190,1666,false,Spring
2.04135,1536360,2190,1666,false,Spring
2.02775,1536360,2190,1666,false,Spring
2.0660166667,1536360,2190,1666,false,Spring
2.02865,1536360,2190,1666,false,Spring
2.0745333333,1536360,2190,1666,false,Spring
2.1064,1536360,2190,1666,false,Spring
2.1052333333,1536360,2190,1666,false,Spring
2.1036666667,1536360,2190,1666,false,Spring
2.0862833333,1536360,2190,1666,false,Spring
2.0943333333,1536360,2190,1666,false,Spring
2.1018666667,1536360,2190,1666,false,Spring
2.0983,1536360,2190,1666,false,Spring
2.0981,1536360,2190,1666,false,Spring
2.10065,1536360,2190,1666,false,Spring
2.1220666667,1536360,2190,1666,false,Spring
2.0962666667,1536360,2190,1666,false,Spring
