Total Time,Pipeline1 Number of Comparisons,Pipeline2 Number of Comparisons,Output Comparisons,Parameter,BenchMark
2.9418,90902,38,28,true,Whiley
2.9715,90902,38,28,true,Whiley
3.01715,90902,38,28,true,Whiley
3.0301,90902,38,28,true,Whiley
3.0236166667,90902,38,28,true,Whiley
3.02565,90902,38,28,true,Whiley
2.9596333333,90902,38,28,true,Whiley
3.0106833333,90902,38,28,true,Whiley
3.0066833333,90902,38,28,true,Whiley
2.9286,90902,38,28,true,Whiley
2.9482166667,90902,38,28,true,Whiley
2.9634666667,90902,38,28,true,Whiley
2.91845,90902,38,28,true,Whiley
2.9718,90902,38,28,true,Whiley
2.92715,90902,38,28,true,Whiley
2.9501333333,90902,38,28,true,Whiley
3.0179333333,90902,38,28,true,Whiley
2.98535,90902,38,28,true,Whiley
2.9924333333,90902,38,28,true,Whiley
3.0183833333,90902,38,28,true,Whiley
2.9708666667,90902,38,28,true,Whiley
2.9062833333,90902,38,28,true,Whiley
3.0192,90902,38,28,true,Whiley
2.91765,90902,38,28,true,Whiley
3.0174,90902,38,28,true,Whiley
3.0231166667,90902,38,28,true,Whiley
2.9418333333,90902,38,28,true,Whiley
2.9057166667,90902,38,28,true,Whiley
3.0069333333,90902,38,28,true,Whiley
3.0093,90902,38,28,true,Whiley
2.7902333333,90902,38,32,false,Whiley
2.6907166667,90902,38,32,false,Whiley
2.7502333333,90902,38,32,false,Whiley
2.6768833333,90902,38,32,false,Whiley
2.7745166667,90902,38,32,false,Whiley
2.68265,90902,38,32,false,Whiley
2.7143,90902,38,32,false,Whiley
2.7120833333,90902,38,32,false,Whiley
2.80005,90902,38,32,false,Whiley
2.6916333333,90902,38,32,false,Whiley
2.7091166667,90902,38,32,false,Whiley
2.7303333333,90902,38,32,false,Whiley
2.8003666667,90902,38,32,false,Whiley
2.7950833333,90902,38,32,false,Whiley
2.6917333333,90902,38,32,false,Whiley
2.7288833333,90902,38,32,false,Whiley
2.7327666667,90902,38,32,false,Whiley
2.75995,90902,38,32,false,Whiley
2.74505,90902,38,32,false,Whiley
2.7377166667,90902,38,32,false,Whiley
2.7385666667,90902,38,32,false,Whiley
2.7399666667,90902,38,32,false,Whiley
2.7488,90902,38,32,false,Whiley
2.7524333333,90902,38,32,false,Whiley
2.7934833333,90902,38,32,false,Whiley
2.7880166667,90902,38,32,false,Whiley
2.8025666667,90902,38,32,false,Whiley
2.8028833333,90902,38,32,false,Whiley
2.8056833333,90902,38,32,false,Whiley
2.81555,90902,38,32,false,Whiley
3.17365,1536360,2190,310,true,Spring
2.95605,1536360,2190,310,true,Spring
3.1811,1536360,2190,310,true,Spring
3.0111333333,1536360,2190,310,true,Spring
3.05875,1536360,2190,310,true,Spring
2.9743,1536360,2190,310,true,Spring
3.0902166667,1536360,2190,310,true,Spring
3.08575,1536360,2190,310,true,Spring
3.0298333333,1536360,2190,310,true,Spring
3.0817333333,1536360,2190,310,true,Spring
3.0852833333,1536360,2190,310,true,Spring
3.0786166667,1536360,2190,310,true,Spring
3.04685,1536360,2190,310,true,Spring
3.0696,1536360,2190,310,true,Spring
3.0894333333,1536360,2190,310,true,Spring
3.01295,1536360,2190,310,true,Spring
3.0332666667,1536360,2190,310,true,Spring
3.0944833333,1536360,2190,310,true,Spring
3.0982333333,1536360,2190,310,true,Spring
3.0813333333,1536360,2190,310,true,Spring
3.0327333333,1536360,2190,310,true,Spring
3.0781333333,1536360,2190,310,true,Spring
3.12405,1536360,2190,310,true,Spring
3.08095,1536360,2190,310,true,Spring
3.0578333333,1536360,2190,310,true,Spring
3.3239166667,1536360,2190,310,true,Spring
3.3218166667,1536360,2190,310,true,Spring
3.3393833333,1536360,2190,310,true,Spring
3.3323166667,1536360,2190,310,true,Spring
3.3362,1536360,2190,310,true,Spring
2.0546166667,1536360,2190,1666,false,Spring
2.04135,1536360,2190,1666,false,Spring
2.02775,1536360,2190,1666,false,Spring
2.0660166667,1536360,2190,1666,false,Spring
2.02865,1536360,2190,1666,false,Spring
2.0745333333,1536360,2190,1666,false,Spring
2.1064,1536360,2190,1666,false,Spring
2.1052333333,1536360,2190,1666,false,Spring
2.1036666667,1536360,2190,1666,false,Spring
2.0862833333,1536360,2190,1666,false,Spring
2.0943333333,1536360,2190,1666,false,Spring
2.1018666667,1536360,2190,1666,false,Spring
2.0983,1536360,2190,1666,false,Spring
2.0981,1536360,2190,1666,false,Spring
2.10065,1536360,2190,1666,false,Spring
2.1220666667,1536360,2190,1666,false,Spring
2.0962666667,1536360,2190,1666,false,Spring
2.09165,1536360,2190,1666,false,Spring
2.1104833333,1536360,2190,1666,false,Spring
2.10835,1536360,2190,1666,false,Spring
2.0975166667,1536360,2190,1666,false,Spring
2.10565,1536360,2190,1666,false,Spring
2.1018833333,1536360,2190,1666,false,Spring
2.1008666667,1536360,2190,1666,false,Spring
2.0921,1536360,2190,1666,false,Spring
2.09705,1536360,2190,1666,false,Spring
2.0452333333,1536360,2190,1666,false,Spring
2.0943333333,1536360,2190,1666,false,Spring
2.0966333333,1536360,2190,1666,false,Spring
2.2902666667,1536360,2190,1666,false,Spring
1.1815,32580,126,20,true,Metric-x
1.1855833333,32580,126,20,true,Metric-x
1.1818833333,32580,126,20,true,Metric-x
1.1678333333,32580,126,20,true,Metric-x
1.1827,32580,126,20,true,Metric-x
1.1573833333,32580,126,20,true,Metric-x
1.1852666667,32580,126,20,true,Metric-x
1.2067833333,32580,126,20,true,Metric-x
1.2,32580,126,20,true,Metric-x
1.19385,32580,126,20,true,Metric-x
1.1636333333,32580,126,20,true,Metric-x
1.1715166667,32580,126,20,true,Metric-x
1.1988833333,32580,126,20,true,Metric-x
1.17255,32580,126,20,true,Metric-x
1.2230333333,32580,126,20,true,Metric-x
1.1695833333,32580,126,20,true,Metric-x
1.1682166667,32580,126,20,true,Metric-x
1.1869,32580,126,20,true,Metric-x
1.21355,32580,126,20,true,Metric-x
1.20555,32580,126,20,true,Metric-x
1.1786666667,32580,126,20,true,Metric-x
1.2025333333,32580,126,20,true,Metric-x
1.2126333333,32580,126,20,true,Metric-x
1.19755,32580,126,20,true,Metric-x
1.20595,32580,126,20,true,Metric-x
1.20235,32580,126,20,true,Metric-x
1.21025,32580,126,20,true,Metric-x
1.3140333333,32580,126,20,true,Metric-x
1.3048666667,32580,126,20,true,Metric-x
1.2098333333,32580,126,20,true,Metric-x
0.4929333333,32580,126,76,false,Metric-x
0.4812666667,32580,126,76,false,Metric-x
0.4658833333,32580,126,76,false,Metric-x
0.47135,32580,126,76,false,Metric-x
0.4621333333,32580,126,76,false,Metric-x
0.47845,32580,126,76,false,Metric-x
0.4829666667,32580,126,76,false,Metric-x
0.464,32580,126,76,false,Metric-x
0.4692833333,32580,126,76,false,Metric-x
0.48985,32580,126,76,false,Metric-x
0.4930333333,32580,126,76,false,Metric-x
0.4842666667,32580,126,76,false,Metric-x
0.4959166667,32580,126,76,false,Metric-x
0.4950833333,32580,126,76,false,Metric-x
0.5018333333,32580,126,76,false,Metric-x
0.4844833333,32580,126,76,false,Metric-x
